Year,Inv Max,Inv Median,Inv Min
2020,6753.318,6753.318,6753.318
2025,6586.165,6177.827,5690.62
2030,6423.315,5616.16,4705.519
2035,6264.169,5477.153,4589.052
2040,6109.123,5341.387,4475.476
2045,5957.114,5209.376,4364.694
2050,5810.448,5080.437,4256.662
