Year,Fix Max,Fix Median,Fix Min
2020,64.406,64.406,64.406
2025,64.406,64.406,64.406
2030,64.406,64.406,61.186
2035,64.406,64.406,61.186
2040,64.406,61.83,55.647
2045,64.406,61.83,55.647
2050,64.406,61.83,55.647
