Year,High,Median,Low
2020,3112.061,3112.061,3112.061
2025,3072.547,3054.586,3037.822
2030,2987.531,2885.751,2785.169
2035,2883.356,2737.273,2591.189
2040,2782.774,2642.677,2501.383
2045,2688.179,2551.675,2415.17
2050,2560.056,2430.736,2300.219
