Year,Inv Max,Inv Median,Inv Min
2020,2547.06,2547.06,2547.06
2025,2547.06,2547.06,2547.06
2030,2590.05,2547.06,2460.547
2035,2590.05,2547.06,2149.175
2040,2590.05,2486.448,2237.803
2045,2590.05,2486.448,2237.803
2050,2590.05,2486.448,2237.803
