Year,Fix Max,Fix Median,Fix Min
2020,22.624,22.624,22.624
2025,20.279,18.165,17.251
2030,19.954,15.222,13.252
2035,18.769,14.721,12.6321
2040,17.585,14.226,12.028
2045,16.403,13.736,11.439
2050,15.222,13.252,10.863
