Year,High,Median,Low
2020,71.8,71.8,71.8
2025,71.8,71.8,71.8
2030,71.8,69.4,67
2035,71.8,68.2,64.5
2040,71.8,68.2,64.5
2045,71.8,68.2,64.5
2050,71.8,68.2,64.5
