Year,Fix Max,Fix Median,Fix Min
2020,107.389,107.389,107.389
2025,107.389,103.357,102.822
2030,107.389,99.324,98.254
2035,107.389,99.324,98.254
2040,107.389,99.324,98.254
2045,107.389,99.324,98.254
2050,107.389,99.324,98.254
