Year,Inv Max,Inv Median,Inv Min
2020,1333.262,1333.262,1333.262
2025,1156.678,981.708,922.182
2030,1149.588,754.397,619.95
2035,1050.079,720.785,581.827
2040,951.992,687.173,543.703
2045,853.195,653.562,505.579
2050,754.397,619.95,467.476
