Year,Fix Max,Fix Median,Fix Min
2020,80.126,80.126,80.126
2025,60.316,49.192,46.202
2030,53.95,38.124,31.255
2035,53.95,35.758,29.301
2040,53.95,33.375,27.348
2045,53.95,30.992,25.394
2050,53.95,28.604,23.441
