Year,CF Max,CF Median,CF Min
2020,1,1,1
2025,1.068649886,1.038901602,1.00228833
2030,1.137299771,1.077803204,1.006864989
2035,1.153318078,1.084668192,1.009153318
2040,1.167048055,1.089244851,1.013729977
2045,1.180778032,1.09610984,1.016018307
2050,1.194508009,1.102974828,1.018306636
