Year,High,Median,Low
2020,2.183333351,2.183333351,2.183333351
2025,2.183333351,2.183333351,2.183333351
2030,2.183333351,2.088888906,1.99444446
2035,2.183333351,2.041666683,1.900000015
2040,2.183333351,2.041666683,1.900000015
2045,2.183333351,2.041666683,1.900000015
2050,2.183333351,2.041666683,1.900000015
