Year,Inv Max,Inv Median,Inv Min
2020,1727.234,1727.234,1727.234
2025,1312.258,1103.977,1005.201
2030,1173.726,894.692,649.989
2035,1173.726,839.219,637.489
2040,1173.726,783.3,594.99
2045,1173.726,727.382,552.491
2050,1173.726,671.464,509.991
